1,19,20
2,3,20
3,29,22
4,4,1
5,5,23
6,6,18
7,5,25
8,2,1
9,30,2
10,21,24
11,12,6
12,21,7
13,28,21
14,16,29
15,2,26
16,8,26
17,17,28
18,14,18
19,21,2
20,17,2
21,13,17
22,2,1
23,10,12
24,22,12
25,30,21
26,3,12
27,24,23
28,7,11
29,29,9
30,6,13
31,11,29
32,27,26
33,11,5
34,10,7
35,12,17
36,7,18
37,23,28
38,29,2
39,7,13
40,5,24
41,5,2
42,30,30
43,10,17
44,22,26
45,12,5
46,13,3
47,12,24
48,12,22
49,23,1
50,5,28
51,24,22
52,12,28
53,17,4
54,5,26
55,24,6
56,28,8
57,13,11
58,25,2
59,14,15
60,10,23
61,30,22
62,17,2
63,2,15
64,8,25
65,5,17
66,1,3
67,7,22
68,13,13
69,17,2
70,4,1
71,26,8
72,23,10
73,22,12
74,4,16
75,10,12
76,12,24
77,8,6
78,3,1
79,17,28
80,28,23
81,9,19
82,3,27
83,22,26
84,6,16
85,14,18
86,15,6
87,20,9
88,24,17
89,17,30
90,1,19
91,25,1
92,3,5
93,24,8
94,25,14
95,16,6
96,25,28
97,19,29
98,9,15
99,1,24
100,22,25
101,9,15
102,25,26
103,18,29
104,5,7
105,10,17
106,8,7
107,14,11
108,30,15
109,4,27
110,27,22
111,8,2
112,11,19
113,15,2
114,2,18
115,18,22
116,27,10
117,28,13
118,25,21
119,22,22
120,7,28
121,21,19
122,8,15
123,20,25
124,23,19
125,1,6
126,12,15
127,21,7
128,14,25
129,13,20
130,17,12
131,24,29
132,4,15
133,23,1
134,28,3
135,25,22
136,27,27
137,4,26
138,5,3
139,27,6
140,10,2
141,3,28
142,17,7
143,13,16
144,10,10
145,5,3
146,15,1
147,23,17
148,14,21
149,17,20
150,2,10
151,17,20
152,8,29
153,17,22
154,30,20
155,22,15
156,18,10
157,28,28
158,5,16
159,15,30
160,6,9
161,6,29
162,15,22
163,2,19
164,10,12
165,22,28
166,4,17
167,30,28
168,7,17
169,21,9
170,7,6
171,12,10
172,24,18
173,17,19
174,24,14
175,13,22
176,1,27
177,27,24
178,8,6
179,18,3
180,27,22
181,15,28
182,14,9
183,21,16
184,3,10
185,20,20
